,"('Crowd Flower', 'anger')","('Crowd Flower', 'boredom')","('Crowd Flower', 'empty')","('Crowd Flower', 'enthusiasm')","('Crowd Flower', 'fun')","('Crowd Flower', 'happiness')","('Crowd Flower', 'hate')","('Crowd Flower', 'love')","('Crowd Flower', 'neutral')","('Crowd Flower', 'relief')","('Crowd Flower', 'sadness')","('Crowd Flower', 'surprise')","('Crowd Flower', 'worry')","('Emotions Dataset', 'anger')","('Emotions Dataset', 'fear')","('Emotions Dataset', 'joy')","('Emotions Dataset', 'love')","('Emotions Dataset', 'sadness')","('Emotions Dataset', 'surprise')","('TwitterOne', 'angry')","('TwitterOne', 'disgust')","('TwitterOne', 'fear')","('TwitterOne', 'happy')","('TwitterOne', 'sad')","('TwitterOne', 'surprise')","('TwitterTwo', 'angry')","('TwitterTwo', 'disgust')","('TwitterTwo', 'fear')","('TwitterTwo', 'happy')","('TwitterTwo', 'sad')","('TwitterTwo', 'surprise')"
"('TwitterOne', 'disgust')",1.5841264172562777,0.4755859497487385,0.4899091538377429,0.5506390068164067,0.6911906401251446,0.6398454169047029,0.6402138343447363,0.5998999595227793,0.5462330287048414,0.6369198186785985,0.703162382384384,0.6490622970685201,0.7299676347978232,0.8471048712892779,0.7852956366105397,0.9530433040885617,0.9113890687564434,0.822892799072557,0.7210210139342432,0.576711201959299,0.0,0.20376436409906748,0.8143553807490708,0.7976764195727639,1.294985425750773,0.49073308555232964,0.13988758548238928,0.2243903467314321,0.8673801198895899,0.7842571007348377,1.1857986292565474
"('TwitterOne', 'fear')",2.312675403140974,0.6765628347521438,0.4070206676630488,0.2908076134425528,0.33521621826374637,0.3183994177525014,0.3489634827156781,0.3178787915905482,0.34355815750432617,0.3269548439252465,0.3507787042867325,0.32211444661491273,0.3566874891707335,0.4844240572406005,0.45629265897431304,0.5327641441414482,0.5209910441130414,0.47838735959509227,0.4426501802790455,0.211304251757882,0.20376436409906748,0.0,0.34232240249544954,0.3269989583458321,2.029419796710978,0.16018480693039927,0.371882527644234,0.04633622560259511,0.37122637500975497,0.31961904001863195,1.8889422491672763
"('TwitterOne', 'happy')",3.8944873177188093,1.5450808178057986,0.9172548654248115,0.47768048415454745,0.3420016697883753,0.3974643689033873,0.4541305266205795,0.4618634023904781,0.6662246268772877,0.4129538866656798,0.3879789584801857,0.4015628367137677,0.35709340019882096,0.5287173507923296,0.5491154526370797,0.4429642433429245,0.46080805704997607,0.5239299103994101,0.6032151768697883,0.07860432347713708,0.8143553807490708,0.34232240249544954,0.0,0.034171301668237286,3.7014758312240383,0.08729932512720207,1.2182325987485356,0.28852403952755695,0.007543634284848916,0.03849382759261451,3.5067654214881783
"('TwitterOne', 'sad')",3.8472118014298102,1.4829244843172804,0.8624180027205021,0.44391489667909645,0.31148294704184953,0.36853956919178316,0.3953416706708296,0.43360415560960464,0.6222311398027045,0.37417237439994067,0.3318692484096005,0.3588306807024471,0.3049147427427824,0.435247440826378,0.4556946846630974,0.3717696113686737,0.3844797917859742,0.4280547795045947,0.5093587950282651,0.05709953305696979,0.7976764195727639,0.3269989583458321,0.034171301668237286,0.0,3.686274873818713,0.0711180288020528,1.1964950919112387,0.2729198465946392,0.03508038002346361,0.011617456071869089,3.4796916813062113
"('TwitterOne', 'surprise')",0.5596242373431654,1.1069291763237876,1.8622088171350966,2.499730217927947,2.981355644774094,2.7796576079430917,2.784867742290961,2.612948659853157,2.2694682672876287,2.773227336329501,2.9669967141225047,2.809523374304539,3.0637733312502013,3.1172097269086905,2.9815965517034306,3.4184073412060125,3.3235830607322843,3.087078476185935,2.784753914108209,3.1827985287258778,1.294985425750773,2.029419796710978,3.7014758312240383,3.686274873818713,0.0,2.984643069914623,0.8682317926408736,2.1328837987042197,3.801033683056207,3.6537462846225157,0.13231259019820518
"('TwitterTwo', 'angry')",3.1375100238302225,1.0830011457023268,0.5987365542459331,0.3046114665414136,0.2435529264871918,0.2725572242161771,0.2895238481706556,0.3109798532231956,0.43361653143750656,0.27876109081543643,0.2595439568322625,0.26465283744922885,0.24587004519371913,0.37508346278499133,0.39050414262542305,0.3708438890734618,0.3775820727374263,0.37445661183701556,0.4252627179801056,0.03508331903588232,0.49073308555232964,0.16018480693039927,0.08729932512720207,0.0711180288020528,2.984643069914623,0.0,0.802425204158788,0.12008306159882318,0.10193051529876548,0.06827452280478763,2.793877505143994
"('TwitterTwo', 'disgust')",1.256155652294333,0.4054388403827889,0.5511266767958227,0.7485005021843122,0.9669819911591011,0.8762794481565159,0.8819802563136443,0.8047913853594144,0.6793205707398995,0.875395952495502,0.9691153422298747,0.8890702906704927,1.0121962662748603,1.1152505138913158,1.0542018448724935,1.2728385723675466,1.230103696180331,1.0938623444278772,0.9652296912635406,0.9086946100687006,0.13988758548238928,0.371882527644234,1.2182325987485356,1.1964950919112387,0.8682317926408736,0.802425204158788,0.0,0.41492499510601427,1.2815609687103628,1.1830706507543827,0.7807431212958458
"('TwitterTwo', 'fear')",2.3748166566854447,0.7062096709303695,0.427414919045248,0.28429184026143195,0.30647037643886654,0.301086617205787,0.3222108184897843,0.30384688144945193,0.3510702459886226,0.30425057091785246,0.322312112187076,0.3006302791722413,0.32763225380080196,0.4493697398711999,0.4220912984800371,0.48934070505101,0.4727506952770125,0.4332087890998486,0.4178315917174496,0.16322836348646208,0.2243903467314321,0.04633622560259511,0.28852403952755695,0.2729198465946392,2.1328837987042197,0.12008306159882318,0.41492499510601427,0.0,0.31505560800137916,0.2626822057808622,1.9968930930044428
"('TwitterTwo', 'happy')",3.9855766237490475,1.5934725022509162,0.9399324482825722,0.49237582317213646,0.3456569340483651,0.40568345814173556,0.45819703413472046,0.4756161529447139,0.6822221476498366,0.4190961185190516,0.387978605522929,0.4063754432577603,0.35662623513585534,0.5091534832403608,0.5325001679268697,0.4252386401276379,0.44715157351770857,0.5069483383276361,0.5920057865085631,0.08645289343626955,0.8673801198895899,0.37122637500975497,0.007543634284848916,0.03508038002346361,3.801033683056207,0.10193051529876548,1.2815609687103628,0.31505560800137916,0.0,0.037133226290332236,3.6129196391321834
"('TwitterTwo', 'sad')",3.8207483392246404,1.4660402166877078,0.8468474936563581,0.4374775957824153,0.30724420048465,0.36368425707788277,0.38758540095015614,0.42607596712404194,0.6098300626100046,0.3697931177588716,0.32554994428409284,0.352928097656365,0.30036430172080864,0.4358730199258549,0.4604188308053989,0.37756294714531613,0.39301243022182447,0.42806184018970445,0.5175116915647097,0.05595429742374879,0.7842571007348377,0.31961904001863195,0.03849382759261451,0.011617456071869089,3.6537462846225157,0.06827452280478763,1.1830706507543827,0.2626822057808622,0.037133226290332236,0.0,3.454229851737169
"('TwitterTwo', 'surprise')",0.5147168050218921,0.978854412296091,1.7081463700818553,2.3354687727345094,2.797030258693143,2.6073283647453644,2.601091671702322,2.4344991655281003,2.114070475261455,2.5978349934506904,2.7806622557901934,2.6295533051452438,2.875081513410792,2.9463985309415,2.824693317438142,3.261590049033392,3.182449811786005,2.923353151994591,2.618470915146475,2.996517981211581,1.1857986292565474,1.8889422491672763,3.5067654214881783,3.4796916813062113,0.13231259019820518,2.793877505143994,0.7807431212958458,1.9968930930044428,3.6129196391321834,3.454229851737169,0.0
